Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,Command
1675842829,0,401305,2.00,4.00,0.00,0.00,6.00,1,nginx
1675842829,0,401306,1.00,1.00,0.00,0.00,2.00,7,nginx
1675842829,0,401309,9.00,2.00,0.00,0.00,11.00,2,nginx
1675842830,0,401306,7.00,1.00,0.00,0.00,8.00,7,nginx
1675842830,0,401309,3.00,2.00,0.00,0.00,5.00,2,nginx
1675842831,0,401304,7.00,3.00,0.00,0.00,10.00,2,nginx
1675842831,0,401306,3.00,3.00,0.00,0.00,6.00,7,nginx
1675842831,0,401308,0.00,1.00,0.00,0.00,1.00,5,nginx
1675842832,0,401304,4.00,2.00,0.00,0.00,6.00,2,nginx
1675842832,0,401306,1.00,0.00,0.00,0.00,1.00,7,nginx
1675842832,0,401307,5.00,2.00,0.00,0.00,7.00,1,nginx
1675842832,0,401311,1.00,1.00,0.00,0.00,2.00,4,nginx
1675842833,0,401307,5.00,4.00,0.00,0.00,9.00,1,nginx
1675842833,0,401311,4.00,2.00,0.00,0.00,6.00,4,nginx
1675842834,0,401310,1.00,0.00,0.00,0.00,1.00,3,nginx
1675842834,0,401311,6.00,3.00,0.00,0.00,9.00,4,nginx
1675842835,0,401304,0.00,1.00,0.00,0.00,1.00,2,nginx
1675842835,0,401305,3.00,1.00,0.00,0.00,4.00,1,nginx
1675842835,0,401308,6.00,1.00,0.00,0.00,7.00,5,nginx
1675842835,0,401310,8.00,6.00,0.00,0.00,14.00,3,nginx
1675842836,0,401305,2.00,1.00,0.00,0.00,3.00,1,nginx
1675842836,0,401307,1.00,0.00,0.00,0.00,1.00,1,nginx
1675842836,0,401308,5.00,4.00,0.00,0.00,9.00,5,nginx
1675842836,0,401310,1.00,0.00,0.00,0.00,1.00,3,nginx
1675842837,0,401305,5.00,4.00,0.00,0.00,9.00,0,nginx
1675842837,0,401309,2.00,2.00,0.00,0.00,4.00,6,nginx
1675842837,0,401311,1.00,0.00,0.00,0.00,1.00,4,nginx
1675842838,0,401305,0.00,1.00,0.00,0.00,1.00,0,nginx
1675842838,0,401306,0.00,1.00,0.00,0.00,1.00,7,nginx
1675842838,0,401309,6.00,6.00,0.00,0.00,12.00,7,nginx
1675842839,0,401304,5.00,0.00,0.00,0.00,5.00,2,nginx
1675842839,0,401306,10.00,4.00,0.00,0.00,14.00,7,nginx
1675842840,0,401304,6.00,3.00,0.00,0.00,9.00,2,nginx
1675842840,0,401306,1.00,0.00,0.00,0.00,1.00,7,nginx
1675842840,0,401307,2.00,0.00,0.00,0.00,2.00,1,nginx
1675842841,0,401304,1.00,1.00,0.00,0.00,2.00,2,nginx
1675842841,0,401306,0.00,1.00,0.00,0.00,1.00,7,nginx
1675842841,0,401307,8.00,3.00,0.00,0.00,11.00,4,nginx
1675842841,0,401311,3.00,0.00,0.00,0.00,3.00,5,nginx
1675842842,0,401307,3.00,2.00,0.00,0.00,5.00,4,nginx
1675842842,0,401310,3.00,1.00,0.00,0.00,4.00,3,nginx
1675842842,0,401311,8.00,4.00,0.00,0.00,12.00,6,nginx
1675842843,0,401305,1.00,0.00,0.00,0.00,1.00,0,nginx
1675842843,0,401308,1.00,2.00,0.00,0.00,3.00,5,nginx
1675842843,0,401310,9.00,3.00,0.00,0.00,12.00,3,nginx
1675842843,0,401311,1.00,1.00,0.00,0.00,2.00,6,nginx
1675842844,0,401308,7.00,3.00,0.00,0.00,10.00,5,nginx
1675842845,0,401305,10.00,4.00,0.00,0.00,14.00,3,nginx
1675842845,0,401308,2.00,2.00,0.00,0.00,4.00,5,nginx
1675842845,0,401309,4.00,1.00,0.00,0.00,5.00,5,nginx
1675842846,0,401305,1.00,1.00,0.00,0.00,2.00,3,nginx
1675842846,0,401306,4.00,0.00,0.00,0.00,4.00,7,nginx
1675842846,0,401309,8.00,3.00,0.00,0.00,11.00,5,nginx
1675842847,0,401304,0.00,1.00,0.00,0.00,1.00,2,nginx
1675842847,0,401306,5.00,3.00,0.00,0.00,8.00,7,nginx
1675842847,0,401309,0.00,1.00,0.00,0.00,1.00,5,nginx
1675842848,0,401304,11.00,3.00,0.00,0.00,14.00,2,nginx
1675842848,0,401306,2.00,3.00,0.00,0.00,5.00,7,nginx
1675842848,0,401307,2.00,0.00,0.00,0.00,2.00,4,nginx
1675842849,0,401304,1.00,0.00,0.00,0.00,1.00,2,nginx
1675842849,0,401307,7.00,3.00,0.00,0.00,10.00,4,nginx
1675842849,0,401311,1.00,1.00,0.00,0.00,2.00,6,nginx
1675842850,0,401307,3.00,1.00,0.00,0.00,4.00,4,nginx
1675842850,0,401310,1.00,1.00,0.00,0.00,2.00,5,nginx
1675842850,0,401311,6.00,3.00,0.00,0.00,9.00,6,nginx
1675842851,0,401304,0.00,1.00,0.00,0.00,1.00,2,nginx
1675842851,0,401308,0.00,1.00,0.00,0.00,1.00,1,nginx
1675842851,0,401310,8.00,3.00,0.00,0.00,11.00,5,nginx
1675842851,0,401311,2.00,3.00,0.00,0.00,5.00,0,nginx
1675842852,0,401305,1.00,1.00,0.00,0.00,2.00,3,nginx
1675842852,0,401308,7.00,3.00,0.00,0.00,10.00,1,nginx
1675842852,0,401310,1.00,2.00,0.00,0.00,3.00,5,nginx
1675842853,0,401305,6.00,1.00,0.00,0.00,7.00,3,nginx
1675842853,0,401308,3.00,2.00,0.00,0.00,5.00,0,nginx
1675842853,0,401309,1.00,0.00,0.00,0.00,1.00,5,nginx
1675842853,0,401310,0.00,1.00,0.00,0.00,1.00,5,nginx
1675842853,0,401311,1.00,0.00,0.00,0.00,1.00,0,nginx
1675842854,0,401305,5.00,3.00,0.00,0.00,8.00,2,nginx
1675842854,0,401309,8.00,4.00,0.00,0.00,12.00,4,nginx
1675842855,0,401306,7.00,1.00,0.00,0.00,8.00,5,nginx
1675842855,0,401309,2.00,2.00,0.00,0.00,4.00,6,nginx
1675842856,0,401304,5.00,0.00,0.00,0.00,5.00,2,nginx
